         ps       /tb_lut_tanh/r_in              
          delta           /tb_lut_tanh/r_out     
     224000  +1            01100001 00111111 
     225000  +1            01100010 00111111 
     226000  +1            01100011 00111111 
     227000  +1            01100100 00111111 
     228000  +1            01100101 00111111 
     229000  +1            01100110 00111111 
     230000  +1            01100111 00111111 
     231000  +1            01101000 00111111 
     232000  +1            01101001 00111111 
     233000  +1            01101010 00111111 
     234000  +1            01101011 00111111 
     235000  +1            01101100 00111111 
     236000  +1            01101101 00111111 
     237000  +1            01101110 00111111 
     238000  +1            01101111 00111111 
     239000  +1            01110000 00111111 
     240000  +1            01110001 00111111 
     241000  +1            01110010 00111111 
     242000  +1            01110011 00111111 
     243000  +1            01110100 00111111 
     244000  +1            01110101 00111111 
     245000  +1            01110110 00111111 
     246000  +1            01110111 00111111 
     247000  +1            01111000 00111111 
     248000  +1            01111001 00111111 
     249000  +1            01111010 00111111 
     250000  +1            01111011 00111111 
     251000  +1            01111100 00111111 
     252000  +1            01111101 00111111 
     254000  +1            11111111 00111111 
     254000  +4            11111111 11111110 
     256000  +1            10000000 11111110 
     256000  +4            10000000 11000000 
     257000  +1            10000010 11000000 
     257000  +4            10000010 11000001 
     258000  +1            10000011 11000001 
     259000  +1            10000100 11000001 
     260000  +1            10000101 11000001 
     261000  +1            10000110 11000001 
     262000  +1            10000111 11000001 
     263000  +1            10001000 11000001 
     264000  +1            10001001 11000001 
     265000  +1            10001010 11000001 
     266000  +1            10001011 11000001 
     267000  +1            10001100 11000001 
     268000  +1            10001101 11000001 
     269000  +1            10001110 11000001 
     270000  +1            10001111 11000001 
     271000  +1            10010000 11000001 
     272000  +1            10010001 11000001 
     273000  +1            10010010 11000001 
     274000  +1            10010011 11000001 
     275000  +1            10010100 11000001 
     276000  +1            10010101 11000001 
     277000  +1            10010110 11000001 
     278000  +1            10010111 11000001 
     279000  +1            10011000 11000001 
     280000  +1            10011001 11000001 
     281000  +1            10011010 11000001 
     282000  +1            10011011 11000001 
     283000  +1            10011100 11000001 
     284000  +1            10011101 11000001 
     285000  +1            10011110 11000001 
     286000  +1            10011111 11000001 
